root,meaning
?1.*g(ʷ)ʰes-{1},eat
?1.*g(ʷ)ʰes-{1},devour
?1.*g(ʷ)ʰes-{1},consume
?1.*k̑eu̯k-{1},flare up
?1.*k̑eu̯k-{1},glow
?1.*met-{1},mow
?1.*neu̯d-{1},use
?1.*sper-{1},liberate
?1.*sper-{1},save
?1.*terg(ʷ)-{1},tear
?1.*terg(ʷ)-{1},pull
?1.*u̯ei̯k-{1},sift out; to weed out.
?2.*(h₁)rebʰ-{1},cover
?2.*(h₁)rebʰ-{1},conceal
?2.*(s)kel-{1},split; divide
?2.*(s)kep-{1},cover
?2.*(s)pend-{1},tension; to tighten
?2.*(s)prend-,to open
?2.*bʰleu̯H-{1},to hit
?2.*deh₁-{1},track down
?2.*deh₁-{1},encounter
?2.*dreh₂-{1},do
?2.*dʰreu̯gʰ-,to pledge allegiance
?2.*g(ʷ)ʰes-{1},laugh
?2.*gu̯el-{1},to lie down
?2.*g̑ʰer-{1},take
?2.*g̑ʰer-{1},fetch
?2.*h₁ai̯-{1},to be warm
?2.*h₂et-{1},make a hole
?2.*h₂et-{1},stab
?2.*h₃ep-,wish
?2.*h₃ep-,choose
?2.*i̯eu̯-{1},(sich) fernhalten; weichen
?2.*k(ʷ)eh₂-{1},dig
?2.*k(ʷ)ert-{1},to bind
?2.*kerH-{1},hang
?2.*k̑ei̯-{1},fallen [UNKNOWN]
?2.*k̑eu̯k-{1},call
?2.*k̑eu̯k-{1},scream
?2.*leh₂-{1},pour
?2.*met-{1},measure
?2.*nebʰ-{1},burst
?2.*nebʰ-{1},shatter
?2.*neu̯d-{1},to push / to collide
?2.*pei̯H-{1},sing
?2.*pei̯g/g̑i-{1},to annoy
?2.*pek̑-,to be happy
?2.*reu̯dʰ-{1},to clear-cut
?2.*reu̯dʰ-{1},to fell
?2.*seh₂(i̯)-{1},to rage
?2.*seh₂(i̯)-{1},to rampage'
?2.*steu̯d-{1},to get cold
?2.*su̯ei̯d-{1},shine; sparkle
?2.*su̯el-{1},"(ver)schlucken"" [UNKNOWN]"
?2.*tep-{1},smear; stick
?2.*terg/g̑-{1},wipe
?2.*terg/g̑-{1},remove
?2.*teu̯k-{1},become strong/fat
?2.*teu̯k-{1},swell
?2.*u̯elg-{1},to become moist
?2.*u̯er-{1},run/walk
?3.*dʰembʰ-{1},(zer)schlagen’ (?)” [UNKNOWN]
?3.*g̑ʰer-{1},radiate
?3.*g̑ʰer-{1},shine; see
?3.*h₂er-{1},speak weightily/loudly
?3.*men-{1},jut out
?3.*men-{1},protrude
?3.*su̯ei̯d-{1},to throw
?3.*u̯ei̯s-{1},execute
?3.*u̯ei̯s-{1},accomplish
ā,(an exclamation)
ab-,water
ab-,river
"ā̆bel-, ā̆bō̆l-, ab<sub>e</sub>l-",apple
abʰ-,swift
abʰ-,quick
abʰ-,abrupt
abʰro-,strong
abʰro-,mighty
abō(n),ape
abō(n),monkey
1. ad-,at
1. ad-,by
1. ad-,to
2. ad-,to fix
2. ad-,put in order
"ades-, ados-",spelt (type of grain)
"ad(u)-, ad-ro-",current
"ad(u)-, ad-ro-",water course
aǵ-,to lead
aǵ-,drive
aǵ-,agitate
ā̆ǵ-,goat
aǵʰ-,animal that may bear young
"ā̆ǵʰer-, ā̆ǵʰen-, ā̆ǵʰes-, or ō̆ǵʰer etc.",day
"ā̆ǵʰer-, ā̆ǵʰen-, ā̆ǵʰes-, or ō̆ǵʰer etc.",dawn
agʰ-,to ail
agʰ-,fear
agʰ-,be depressed
agʰ-(lo-),disgusting
agʰ-(lo-),unpleasant
agʰl(u)-,dark cloud; rainy weather
agos-,sin
agos-,guilt; fault
agos-,blemish
"agro-, egro-?",first
"agro-, egro-?",highest; apex
"agro-, egro-?",beginning
aǵro-s,field
aǵro-s,acre
"agʷ(e)sī, aksī",axe
agʷʰ-no-s,lamb
1. ai,(an exclamation)
2. ai-,to drive
2. ai-,close in; harm
2. ai-,overwhelm
3. ai-,to give
"ai-ti-, ai-to-, oi-to-",part
"ai-ti-, ai-to-, oi-to-",portion
4. ā̆i-,to burn
4. ā̆i-,shine
5. ai- : oi-,oath
5. ai- : oi-,significant speech
"ai-dʰ-, i-dʰ-, nasalized i-n-dʰ-",to burn
"ai-dʰ-, i-dʰ-, nasalized i-n-dʰ-",shine
"ā̆ier-, ā̆ien-",day(light)
"ā̆ier-, ā̆ien-",morning
aiǵ-,goat
"1. aig-, nasalized ing-",ill
"1. aig-, nasalized ing-",sick; depressed
"1. aig-, nasalized ing-",dispirited
2. aig-,oak
3. aig-,to swing
3. aig-,vibrate
3. aig-,move violently
aigʷʰ-,to be ashamed
ā(i)ǵʰ- : īǵʰ-,to need
ā(i)ǵʰ- : īǵʰ-,desire
ā̆iḱ- : ī̆ḱ-,pike
ā̆iḱ- : ī̆ḱ-,spear
ā̆iḱ- : ī̆ḱ-,spit
aik-,to call to
ai̯os-,ore
ai̯os-,metal (copper
ai̯os-,bronze
ai̯os-,iron)
ai-rā,(type of grass)
1. ais-,to wish
1. ais-,desire
1. ais-,ask/search for
2. ais-,to respect
2. ais-,worship
2. ais-,be in awe
aisk-,clear
aisk-,bright
aisk-,shining
ai-tro-,sharp
ai-tro-,bitter
"aiu̯-, ai̯u-",vitality
"aiu̯-, ai̯u-",life force
"1. aḱ-, aḱō-",to eat
"2. aḱ-, oḱ-",sharp
"2. aḱ-, oḱ-",acute
"2. aḱ-, oḱ-",angular; stone
akkā,mama (nursery word)
aḱru,tear(drop)
"akʷā-, more accurately əkʷā, ēkʷ-",aqua
"akʷā-, more accurately əkʷā, ēkʷ-",water
"akʷā-, more accurately əkʷā, ēkʷ-",river
"1. al-, ol-",beyond; other
"1. al-, ol-",alien
2. al-,to grow
2. al-,nourish
2. al-,enhance
3. ā̆l-,to roam
3. ā̆l-,wander; be crazy/confused
4. al-,to burn
5. al-,to mill
5. al-,grind
alā,hello! (greeting)
albʰi-,barley
albʰo-,white
albʰo-,albino
aldʰ-,trough
aleq-,to protect
aleq-,ward off
algʰ-,cold
algʰ-,frost
algʰ-,algidity
algʷʰ-,to gain
algʷʰ-,earn; price
algʷʰ-,value
alp-,small
alp-,weak
"ālu-, ālo-",a bitter plant?
"alu-, alu-d-, alu-t-",bitter; ale
"alu-, alu-d-, alu-t-",beer
"ambʰi, m̥bʰi",around
"ambʰi, m̥bʰi",at both sides
"1. am-, mē-",to grab
"1. am-, mē-",seize
"2. am-, mē-",to mow
"āmer-, āmōr, āmr̥",day
"ames-, or omes-",blackbird: merl
"ames-, or omes-",ousel
"am(m)a, amī̆",mama
"am(m)a, amī̆",amah (nursery word)
1. an-,relative
1. an-,ancestor
2. an-,there
2. an-,other side
3. an(ə)-,to breathe
3. an(ə)-,respire
3. an(ə)-,animate
"4. an-, anu, anō, nō",on
"4. an-, anu, anō, nō",along
"4. an-, anu, anō, nō",over there
"andʰ-, anedʰ-",to sprout
"andʰ-, anedʰ-",bloom
"andʰ-, anedʰ-",blossom; herb
"andʰ-, anedʰ-",anther
"andʰer-, ṇdʰer-",stem
"andʰer-, ṇdʰer-",spike
andʰo-,blind
andʰo-,dark
andʰo-,somber
anət-,duck
anət-,solan
"anətā, <sub>e</sub>nətā",anta
"anətā, <sub>e</sub>nətā",doorpost
anǵʰ-,tight
anǵʰ-,narrow
anǵʰ-,anguished; to constrict
anǵʰen-,scent
anǵʰen-,smell
anǵʰen-,odor; person
angʷ(ʰ)i-,eel
angʷ(ʰ)i-,worm
angʷ(ʰ)i-,snake
angʷ(ʰ)i-,serpent
1. ank-,force; need
1. ank-,necessity
"2. ank-, ang-",to flex
"2. ank-, ang-",bend
"2. ank-, ang-",angle
āno-,ring
āno-,annulus
ans-,favorable
ans-,well inclined
"ansā, ansi-",noose
"ansā, ansi-",snare; ansa
"ansā, ansi-",handle
"ansu-, ṇsu-",ghost
"ansu-, ṇsu-",spirit
"ansu-, ṇsu-",demon
ant-s,brow
ant-s,front
ant-s,anterior
antro-m,cave
antro-m,hollow
"1. ap-, more accurately əp- : ēp-",to take
"1. ap-, more accurately əp- : ēp-",reach
"1. ap-, more accurately əp- : ēp-",grasp
2. ā̆p-,water
2. ā̆p-,river
"3. ap-, āp-",old
"3. ap-, āp-",fragile; harm
"3. ap-, āp-",damage
appa,papa (nursery word)
apelo-,strength
āpero-,shore
āpero-,bank (of river)
"apo-, pō̆, ap-u, pu",off
"apo-, pō̆, ap-u, pu",out of
"apo-, pō̆, ap-u, pu",away from
apsā,aspen (tree)
"1. ar-, tʰematic (a)re-, ʰeavy-base arə-, rē-, and i-base (a)rī̆-, rēi-",to fit
"1. ar-, tʰematic (a)re-, ʰeavy-base arə-, rē-, and i-base (a)rī̆-, rēi-",suit
"2. ar-, or er-",to share
"2. ar-, or er-",distribute
3. ar-,nut
"4. ar, er, or?, r̥",now
"4. ar, er, or?, r̥",therefore; (interrogative particle)
5. ar-,to deny
5. ar-,refuse
5. ar-,renounce
ar(ə)-,to ear
ar(ə)-,plow
ardʰ-,pole
ardʰ-,stake
"ardi-, r̥di-",tip
"ardi-, r̥di-",point
"ardi-, r̥di-",edge
areg-,to lock
areg-,shut away
"ar(e)-ǵ-, arǵ-?, r̥ǵi-",white
"ar(e)-ǵ-, arǵ-?, r̥ǵi-",argent
"ar(e)-ǵ-, arǵ-?, r̥ǵi-",glittering
areq-,to lock
areq-,guard
areq-,protect
arenko-,(type of grain?)
ario-?,host
ario-?,lord
ario-?,master
arqu-,arc
arqu-,arch
arqu-,something bent
"arōd-, arəd-",(type of waterbird)
aro-m,reed?
aru̯ā,intestines?
"ā̆s-, based on it azd-, azg(ʰ)-",to burn
"ā̆s-, based on it azd-, azg(ʰ)-",glow; ash
at-,to go; year
at-,annum
āt(e)r-,fire
"*ati-, ateli-",(type of fish)
"ati, ato-",over
"ati, ato-",beyond
"ā̆tos, atta",daddy
"ā̆tos, atta",mommy (nursery word)
1. au-,ow! (exclamation of pain)
"2. au-, au̯-es-, au-s-",to sleep
"2. au-, au̯-es-, au-s-",stay overnight
"3. au-, au̯e, u̯ē̆-",down
"3. au-, au̯e, u̯ē̆-",away from
"4. au-, u- : u̯ē̆-, u̯o-",other; that (one)
"5. au̯-, au̯ē-",to plait
"5. au̯-, au̯ē-",weave
"6. au̯-, au̯ed-",to speak
"7. au̯-, au̯ē-, au̯ēi-",to like
"7. au̯-, au̯ē-, au̯ēi-",help
"8. au̯-, au̯ēi-",to perceive
"8. au̯-, au̯ēi-",understand
"8. au̯-, au̯ēi-",be aware of
"9. au̯(e)-, au̯ed-, au̯er-",to wet
"9. au̯(e)-, au̯ed-, au̯er-",flow
"9. au̯(e)-, au̯ed-, au̯er-",sprinkle; water
"9. au̯(e)-, au̯ed-, au̯er-",river
"9. au̯(e)-, au̯ed-, au̯er-",etc.
"10. au̯(e)-, au̯ē(i)-, u̯ē-",to vent
"10. au̯(e)-, au̯ē(i)-, u̯ē-",blow
"11. au̯ē-, (u̯e-d(ʰ)-?)",to strain
"11. au̯ē-, (u̯e-d(ʰ)-?)",take pains
"au̯eg-, u̯ōg-, aug-, ug-",to augment
"au̯eg-, u̯ōg-, aug-, ug-",increase
"au̯eg-, u̯ōg-, aug-, ug-",magnify
"au̯ei-, əu̯ei-?",bird
"au̯ei-, əu̯ei-?",avifauna
au̯es-,to shine
aug-,to shine
aug-,gleam
aug-,glitter
"augʰ-, ugʰ-",nape of the neck
au̯iǵ-,oats; type of grass
"auqʷ(ʰ)- : uqʷ(ʰ)-, probably also u̯eqʷ(ʰ)-",cooking pot
au-lo-s : ēu-l-,tube
au-lo-s : ēu-l-,pipe
au-lo-s : ēu-l-,aulos
au̯o-s,maternal grandfather
aus-,to draw (water); scoop
aus-,ladle
"baˣb-, bʰaˣbʰ-, paˣp-",to swell
baba-,babble
baba-,babbling
baba-,unclear speech
badi̯os,bay
badi̯os,brown; gold
badi̯os,yellow
"baitā, or paitā?",goatskin; cloak
"baitā, or paitā?",mantle
bak-,stick
bak-,staff; to hit
bak-,peg
"bal-, balbal-",to dance
"bal-, balbal-",shake
"bal-, balbal-",whirl
baˣmb-,(type of noise)
"baˣmb-, bʰaˣmbʰ-, paˣmp-, pʰaˣmpʰ-",to swell
band-,drop (of liquid)?
bata-,babble
bata-,murmur
bata-,meaningless stuttering
bau,bow-wow (onomatopoeic: dog barking)
bdel-,to suck
"bē, bā",baa (onomatopoeic: sheep bleating)
bed-,to swell
1. bel-,to cut off
1. bel-,cut out
2. bel-,strong
"bend-, bṇd-no-",spike
"bend-, bṇd-no-",needle
"bend-, bṇd-no-",tip jutting out
"1. b(e)u-, bʰ(e)u-",(onomatopoeic: dull noise)
"2. b(e)u-, bʰ(e)ū̆-",to boil
"2. b(e)u-, bʰ(e)ū̆-",swell
"2. b(e)u-, bʰ(e)ū̆-",puff up
bis-(t)li-,gall
blat-,to chat
blat-,prattle
blē-,to bleat
"blou-, bʰlou-?, plou-",flea
bol-,bulb
bol-,tuber
"brangʰ-, brongʰ-?",hoarse?
breuq-,to jump
bronk-,to lock
bronk-,shut in
bu-,lip; kiss
bu-,buss
"1. bʰā-, bʰō-, bʰə-",to shine
"1. bʰā-, bʰō-, bʰə-",glisten
2. bʰā-,to speak
bʰabʰā,bean
bʰā̆d-,good
bʰā̆d-,better
1. bʰag-,to divide
1. bʰag-,apportion
2. bʰag-,sharp
bʰāgó-s,beech (tree)
bʰāǵʰú-s,elbow
bʰāǵʰú-s,forearm
bʰar- : bʰor- : bʰr̥-,burr
bʰar- : bʰor- : bʰr̥-,stubble; something jutting out
bʰaru-,(fir) tree
bʰaru-,forest
"bʰares-, bʰores-",point
"bʰares-, bʰores-",bristle
"bʰares-, bʰores-",stubble (with formants)
bʰardʰā,beard
"bʰarekʷ-, or bʰ<sub>e</sub>rekʷ-",to farce
"bʰarekʷ-, or bʰ<sub>e</sub>rekʷ-",stuff full
bʰares-,barley
bʰasko-,heap
bʰasko-,bundle
bʰasko-,fascicle
"bʰāso-, or bʰēso-",(large bird of prey)
bʰāt- : bʰət-,to bat
bʰāt- : bʰət-,hit
1. bʰā̆u- : bʰū̆-,to hit
1. bʰā̆u- : bʰū̆-,beat
"1. b(ʰ)e, and b(ʰ)eǵʰ",beside
"1. b(ʰ)e, and b(ʰ)eǵʰ",outside
"1. b(ʰ)e, and b(ʰ)eǵʰ",without
"2. bʰē̆, bʰō̆",(emphatic particle)
"bʰē-, bʰō-",to warm
"bʰē-, bʰō-",bake
"bʰē-, bʰō-",roast
"bʰē-, bʰō-",fry
1. bʰedʰ-,to dig
1. bʰedʰ-,stab
1. bʰedʰ-,pierce
1. bʰedʰ-,embed
2. bʰedʰ-,to flex
2. bʰedʰ-,bend
2. bʰedʰ-,crook
"bʰeg-, bʰeng-",to bang
"bʰeg-, bʰeng-",break
"bʰeg-, bʰeng-",smash
bʰēgʰ- : bʰōgʰ-,to resist
bʰēgʰ- : bʰōgʰ-,dispute
bʰegʷ-,to flee
bʰegʷ-,run away
bʰei-,bee (insect)
bʰeid-,to bite
bʰeid-,prick
bʰeid-,pierce
bʰeid-,split
1. bʰeidʰ-,to force; advise
1. bʰeidʰ-,confide
1. bʰeidʰ-,encourage
"bʰei(ə)-, bʰī-",to hit
bʰeigʷ-,to shine
bʰeigʷ-,glitter?
"1. bʰel-, Balto-Slavic also bʰelə-",glittering white
2. bʰel-,henbane
"3. bʰel-, bʰlē-",to grow
"3. bʰel-, bʰlē-",spread
"3. bʰel-, bʰlē-",swell
"3. bʰel-, bʰlē-",inflate
"4. bʰel-, and bʰlē-, bʰlō-, bʰlə-",leaf
"4. bʰel-, and bʰlē-, bʰlō-, bʰlə-",foil
"4. bʰel-, and bʰlē-, bʰlō-, bʰlə-",blade; bloom
"5. bʰel-,  cʰiefly witʰ suffixes: bʰ<sub>e</sub>ləǵ-, bʰ<sub>e</sub>lə-n-ǵ-, bʰeleǵ-, bʰl̥ḱ-",balk
"5. bʰel-,  cʰiefly witʰ suffixes: bʰ<sub>e</sub>ləǵ-, bʰ<sub>e</sub>lə-n-ǵ-, bʰeleǵ-, bʰl̥ḱ-",beam
"5. bʰel-,  cʰiefly witʰ suffixes: bʰ<sub>e</sub>ləǵ-, bʰ<sub>e</sub>lə-n-ǵ-, bʰeleǵ-, bʰl̥ḱ-",rafter
6. bʰel-,to speak
6. bʰel-,bell
6. bʰel-,bellow
6. bʰel-,resound
bʰ(e)lāg-,weak
bʰ(e)lāg-,silly
bʰ(e)lāg-,ridiculous
bʰeld-,to hit
bʰeld-,poke
bʰeleg-,to shine
bʰeleg-,glisten
bʰeleu-,to hit
bʰeleu-,weaken; ill
bʰeleu-,weak
bʰelǵʰ-,to swell
bʰelǵʰ-,bulge
bʰelǵʰ-,billow
bʰen-,to hit
bʰen-,wound
bʰend-,to sing
bʰend-,rejoice
bʰendʰ-,to tie
bʰendʰ-,bind
"bʰenǵʰ-, bʰn̥ǵʰ-, adj. bʰn̥ǵʰú-s",fat
"bʰenǵʰ-, bʰn̥ǵʰ-, adj. bʰn̥ǵʰú-s",thick
"bʰenǵʰ-, bʰn̥ǵʰ-, adj. bʰn̥ǵʰú-s",dense
1. bʰer-,to bear
1. bʰer-,bring
1. bʰer-,carry
2. bʰer-,to boil
2. bʰer-,swell
2. bʰer-,well up
3. bʰer-,to bore
3. bʰer-,cut
3. bʰer-,scrape
3. bʰer-,use sharp tool
4. bʰer-,to hum
4. bʰer-,buzz
5. bʰer-,shining; bright brown
6. bʰer-,to cook
6. bʰer-,bake
6. bʰer-,fry
6. bʰer-,roast
7. bʰer-,to plait
7. bʰer-,weave
"bʰeredʰ-, bʰṛdʰo-",to cut; board
bʰereg-,(onomatopoeic: to bark
bʰereg-,cry
bʰereg-,roar
bʰereg-,etc.)
"bʰerəǵ-, bʰrēǵ-",to shine; bright
"bʰerəǵ-, bʰrēǵ-",white
"bʰereǵʰ-, bʰerǵʰos-",high
"bʰereǵʰ-, bʰerǵʰos-",noble; barrow
"bʰereǵʰ-, bʰerǵʰos-",mountain
"bʰerəḱ-, bʰrēḱ-",to shine
"bʰerəḱ-, bʰrēḱ-",glitter
1. bʰerem-,to stand out; brim
1. bʰerem-,edge
1. bʰerem-,hem
2. bʰerem-,to hum
2. bʰerem-,buzz
2. bʰerem-,drone
bʰeres-,quick
bʰeres-,festinate
bʰ(e)reu- : bʰ(e)rū̆-,to brew
bʰ(e)reu- : bʰ(e)rū̆-,boil
bʰ(e)reu- : bʰ(e)rū̆-,surge
bʰ(e)reu- : bʰ(e)rū̆-,be wild
bʰerǵʰ-,to keep
bʰerǵʰ-,hide
bʰerǵʰ-,bury
1. bʰes-,to spread
1. bʰes-,smear
1. bʰes-,rub on
2. bʰes-,to blow
2. bʰes-,breathe
"bʰeu-, bʰeu̯ə-, bʰu̯ā-, bʰu̯ē- : bʰō̆u- : bʰū-",to be
"bʰeu-, bʰeu̯ə-, bʰu̯ā-, bʰu̯ē- : bʰō̆u- : bʰū-",exist; grow
"bʰeu-, bʰeu̯ə-, bʰu̯ā-, bʰu̯ē- : bʰō̆u- : bʰū-",prosper
"bʰeudʰ-, nasalized bʰu-n-dʰ-",to awaken
"bʰeudʰ-, nasalized bʰu-n-dʰ-",be aware
1. bʰeug-,to flee
1. bʰeug-,escape
1. bʰeug-,seek refuge
"2. bʰeug-, bʰeugʰ-",to free
"2. bʰeug-, bʰeugʰ-",put away
"3. bʰeug-, bʰeugʰ-",to bow
"3. bʰeug-, bʰeugʰ-",flex
"3. bʰeug-, bʰeugʰ-",bend
"3. bʰeug-, bʰeugʰ-",crook
4. bʰeug-,to enjoy
bʰidʰ-,pot
bʰidʰ-,vat
bʰidʰ-,cauldron
"bʰili-, bʰilo-",good
"bʰili-, bʰilo-",friendly
"bʰili-, bʰilo-",harmonious
bʰlaǵ-,to hit
bʰlaǵ-,flog
bʰlaǵ-,flail
bʰlagʰ-men-,priest
bʰlagʰ-men-,flamen
bʰlagʰ-men-,wizard
bʰlē-,to bleat
bʰlē-,weep
bʰlē-,howl
"bʰlē̆d-, bʰl̥d-",to boil
"bʰlē̆d-, bʰl̥d-",bubble up; boast
"bʰlē̆d-, bʰl̥d-",chatter
bʰlegʷ-,to swell
bʰlegʷ-,become bloated
1. bʰlē̆i- : bʰləi- : bʰlī-,to shine
1. bʰlē̆i- : bʰləi- : bʰlī-,glitter
2. bʰlei-,to swell
2. bʰlei-,burst
2. bʰlei-,blow up
"bʰlē̆iǵ-, bʰlīǵ-",to shine
"bʰlē̆iǵ-, bʰlīǵ-",glitter
bʰleiq-,to shine
bʰleiq-,glitter
bʰlendʰ-,dim
bʰlendʰ-,pale
bʰlendʰ-,blond
bʰlendʰ-,reddish
bʰles-,to shine
bʰles-,glitter
bʰleu-,to bloat
bʰleu-,swell
bʰleu-,blow up; flow
1. bʰlēu- : bʰləu- : bʰlū-,to shine
1. bʰlēu- : bʰləu- : bʰlū-,glitter
2. bʰlēu- : bʰləu- : bʰlū-,bad
2. bʰlēu- : bʰləu- : bʰlū-,weak
2. bʰlēu- : bʰləu- : bʰlū-,miserable
bʰleu-(k-),to burn
bʰlē-u̯o-s,a light color (blue
bʰlē-u̯o-s,yellow)
bʰleus-,mild
bʰleus-,weak
bʰləido-s,pale
bʰləido-s,light
bʰlīǵ- : *bʰlēig-,to hit
bʰlīǵ- : *bʰlēig-,strike
bʰlīǵ- : *bʰlēig-,inflict
bʰlō̆k-,flock
bʰlō̆k-,tow
bʰlō̆k-,wool; cloth?
bʰlos-q-,(onomatopoeic: to bark
bʰlos-q-,cry
bʰlos-q-,roar
bʰlos-q-,etc.)
bʰog-,beck
bʰog-,flowing water
"bʰō̆gʰ-, or bʰā̆gʰ-",bog
"bʰō̆gʰ-, or bʰā̆gʰ-",swamp
"bʰō̆gʰ-, or bʰā̆gʰ-",lowland
"bʰōi- : bʰəi- : bʰī-, bʰii̯ə-",to fear
"bʰōi- : bʰəi- : bʰī-, bʰii̯ə-",be afraid
bʰok-,to burn?
bʰolo-,mist
bʰolo-,smoke
bʰolo-,steam?
bʰoso-s,bare
bʰoso-s,naked
bʰoudʰi-,victory
"bʰrag-, better bʰrə-g-",to scent
"bʰrag-, better bʰrə-g-",smell
bʰrā́ter-,brother
bʰrā́ter-,family member
bʰred(ʰ?)-,to wade
bʰred(ʰ?)-,wander
1. bʰreǵ-,to break
2. bʰreǵ-,to stick up
"bʰrēi-, bʰrī̆-",to fray
"bʰrēi-, bʰrī̆-",pierce
"bʰrēi-, bʰrī̆-",cut with sharp tool
bʰren-,to bulge
bʰren-,stick out; edge
bʰren-,brink
bʰrendʰ-,to sprout
bʰrendʰ-,swell up
"bʰrenk-, bʰronk-",to bring
bʰre(n)ḱ-,to err
bʰre(n)ḱ-,be ensnared
bʰren-to-s,deer
bʰren-to-s,horned animal
bʰres-,to burst
bʰres-,break
"bʰreu-, bʰreu-d-",to swell
"bʰreu-, bʰreu-d-",sprout
"1. bʰrē̆u-, bʰrū̆-",to break
"1. bʰrē̆u-, bʰrū̆-",cut
"1. bʰrē̆u-, bʰrū̆-",pierce
"2. bʰrēu-, bʰrū-",edge
bʰreu-ḱ-,to strike
bʰreu-ḱ-,throw
1. bʰreu-s-,to swell
1. bʰreu-s-,sprout
2. bʰreu-s-,to bruise
2. bʰreu-s-,break to pieces
"3. bʰreus-, bʰrū̆s-",to boil
"3. bʰreus-, bʰrū̆s-",sound
"3. bʰreus-, bʰrū̆s-",etc.
"bʰroisqo-, bʰrisqo-",bitter
1. bʰrū-,brow
1. bʰrū-,eyebrow
"2. bʰrū-, bʰrēu-",beam
"2. bʰrū-, bʰrēu-",bridge
bʰrūg-,fruit; to brook
bʰrūg-,enjoy
bʰrugʰ-no-,twig
bʰudʰ-m(e)n,base
bʰudʰ-m(e)n,ground
bʰudʰ-m(e)n,bottom
bʰudʰ-m(e)n,fundament
"bʰū̆ǵo-s, familiar form bʰukko-s",buck
"bʰū̆ǵo-s, familiar form bʰukko-s",goat
dā-,fluid; river; to flow
"dā : də-, and dāi- : dəi-, dī̆-",to share
"dā : də-, and dāi- : dəi-, dī̆-",divide
"dāiu̯ēr, genitive daiu̯rés",brother-in-law
daḱru-,tear (from the eye)
"dāu-, dəu-, dū̆-",to burn
"dāu-, dəu-, dū̆-",injure
"dāu-, dəu-, dū̆-",torment
*dəǵʰ-mó-,slanting
"de-, do-",I-deictic; here
"dē- : də-, and dēi-, dī-",to tie
"dē- : də-, and dēi-, dī-",bind
dēg-,to take
dēg-,grab
dēg-,pack?
"1. dei-, dei̯ə-, dī-, di̯ā-",to shine
"1. dei-, dei̯ə-, dī-, di̯ā-",glitter; day
"1. dei-, dei̯ə-, dī-, di̯ā-",sun; god
"1. dei-, dei̯ə-, dī-, di̯ā-",deity
"2. dei̯ə-, di̯ā-, di̯ə-, dī-",to move
"2. dei̯ə-, di̯ā-, di̯ə-, dī-",spin
"2. dei̯ə-, di̯ā-, di̯ə-, dī-",swing
deiǵʰ-,to itch
deiǵʰ-,prick; tick
deiḱ-,to teach
deiḱ-,show
1. deḱ-,to take
"2. deḱ- : doḱ-, dēḱ-",to tear
"2. deḱ- : doḱ-, dēḱ-",rip to pieces
"deḱm̥, deḱm̥-t, deḱu-",ten
"deḱm̥, deḱm̥-t, deḱu-",decade
1. del-,to tell
1. del-,count
1. del-,calculate
2. del-,to shake
2. del-,totter
"3. del-, dol-, delə-",to split
"3. del-, dol-, delə-",divide
4. del-,to rain
4. del-,dribble
5. del-,long
"dem-, demə-",to build
"dem-, demə-",timber; house
"dem-, demə-",domicile
"demə-, domə-, d<sub>o</sub>mə-",to tame
demel-,worm?
denḱ-,to bite
1. dens-,to learn; mental power
2. dens-,dense
depʰ-,to push
depʰ-,stamp
depʰ-,thrust
"1. der- : dōr-, d<sub>e</sub>r-, or dōr- : dər-",hand span
"2. der-, reduplicated der-der-, dr̥d<sub>o</sub>r-, broken reduplication dor-d-, dr̥-d-",(onomatopoeic: to mutter
"2. der-, reduplicated der-der-, dr̥d<sub>o</sub>r-, broken reduplication dor-d-, dr̥-d-",grumble)
"3. der-, drā-, dreb-, drem-, dreu-",to run
"3. der-, drā-, dreb-, drem-, dreu-",trip
"3. der-, drā-, dreb-, drem-, dreu-",tread
"3. der-, drā-, dreb-, drem-, dreu-",tramp
"4. der-, ʰeavy-base derə-, drē-",to cut
"4. der-, ʰeavy-base derə-, drē-",skin
"4. der-, ʰeavy-base derə-, drē-",split
"4. der-, ʰeavy-base derə-, drē-",tear
derbʰ-,to wind
derbʰ-,put together
der(ep)-,to see?
"derə-, drā-",to work
dergʰ-,to grasp
derḱ-,to look
"deru-, dō̆ru-, dr(e)u-, drou-, dreu̯ə- : drū-",firm
"deru-, dō̆ru-, dr(e)u-, drou-, dreu̯ə- : drū-",solid; tree
"deru-, dō̆ru-, dr(e)u-, drou-, dreu̯ə- : drū-",wood
"des-, dēs-",to find
1. deu-,to sink in
1. deu-,plunge into
"2. deu-, or dou- : du-",to worship
"2. deu-, or dou- : du-",venerate; mighty
"3. deu-, deu̯ə-, du̯ā-, dū-",to pass
"3. deu-, deu̯ə-, du̯ā-, dū-",move forward
deuk-,to tug
deuk-,pull
deuk-,drag
deuk-,tow
deup- : kteup-?,(onomotopoeic: dull thud)
digʰ-,goat
dl̥kú-,sweet
dl̥kú-,dulcet
"dn̥ǵʰū, dn̥ǵʰu̯ā",tongue
"dō- : də-, also dō-u- : dəu- : du-",to give
"dō- : də-, also dō-u- : dəu- : du-",donate
dous-,arm
"drē- : drə-, extended dr-ē̆m-",to sleep
dreǵʰ-,vexed
dreǵʰ-,displeased
dreǵʰ-,unwilling
"dumb-, dumbʰ-?",tail
"dumb-, dumbʰ-?",penis
dus-,bad
dus-,foul
dus-,evil
du̯ei-,to fear
du̯ō(u),two
du̯ō(u),duo
